toponym;distance;categories
GADES;;summary,route1
ROMA;;summary,
AD PORTVM;XXIIII;item,route1
HASTA;XVI;item,route1
VGIA;XXVII;item,route1
ORIPPO;XXIIII;item,route1
HISPALIM;IX;item,route1
CARMONE;XXII;item,route 2
OBVCLA;XX;item,route 2
ASTIGI;XV;item,route 2
AD ARAS;XII;item,
CORDVBA;XXIII;item,route 2
AD DECVMO;X;item,route3
AD LVCOS;XVIII;item,
VCIESE;XVIII;item,route3
AD NOVLAS;XIII;item,route3
AD CASTVLONE;XIX;item,route3
AD MORVM;XXIIII;item,route3
AD SOLARIA;XVIIII;item,route3
MARIANA;XX;item,route3
MENTESA;XX;item,route3
LIBISOSA;XXVIII;item,route3
PARIETINIS;XXII;item,route3
SALTIGI;XVI;item,route3
AD PALE;XXXII;item,route3
AD ARAS;XXII;item,
SAETABI;XXVIII;item,route3
SVCRONE;XV;item,route3
VALENTIA;XX;item,route3
SAGYNTO;XVI;item,route3
AD NOVLAS;XXIIII;item,route3
ILDVM;XXII;item,route3
INTIBILI;XXIIII;item,route3
DERTOSA;XXVII;item,route3
SVBSALTV;XXXVII;item,route3
TARRACONE;XXI;item,route3
PALFVRIANA;XVI;item,route4
ANTISTIANA;XV;item,route4
AD FINES;XVII;item,route4
ARRAGONE;XX;item,route4
PRAETORIO;XVII;item,route4
SITERAS;XV;item,route4
AQVIS VOCONI;XV;item,route4
GERVNDA;XII;item,route4
CILNIANA;XI;item,route4
IVNCARIA;XV;item,route4
IN PYRENEO;XVI;item,route4
RVSCINNE;XXV;item,route4
COMBVSTA;VI;item,route4
NARBONE;XXXII;item,route4
BAETERRAS;XVI;item,route5
CESSERONE;XII;item,route5
FORO DOMITI;XVIII;item,route5
SEXTANTIO;XV;item,route5
AMBRVSSVM;XV;item,route5
NEMAVSO;XV;item,route5
VGERNO;XVI;item,route5
ERNAGINI;VIII;item,route5
CLANVM;VII;item,route5
CABELLIONE;XII;item,route5
AD FINES;XII;item,
APTA IVLIA;X;item,route5
CATVLACIA;XII;item,route5
ALAVNIO;XVI;item,route5
SEGVSTERONE;XXIIII;item,route5
ALABONTE;XVI;item,route5
VAPPINQVO;XVIII;item,route5
CATVRIGOMAGI;XII;item,route5
EBVRODVNO;XVIII;item,route5
RAMA;XVII;item,route5
BRIGANTIO;XVIII;item,route5
GRVENTIA;VI;item,
GOESAO;V;item,
SEGVSIO;XXIII;item,
OCELO;XX;item,route5
TAVRINIS;XX;item,route5
QVADRATIS;XXIIII;item,[route6]
RIGOMAGI;XIII;item,[route6]
CVTTIAS;XXIIII;item,[route6]
LAVMELLVM;XII;item,[route6]
TICINVM;XX;item,[route6]
LAMBRVM;XX;item,[route6]
PLACENTIA;XVI;item,[route6]
FLORENTIA;XVI;item,[route6]
PARMA;XXV;item,[route6]
REGIO LEPIDI;XVIII;item,[route6]
MVTINA;XVII;item,[route6]
BONONIA;XXV;item,[route6]
CLATERNO;X;item,[route6]
FORO CORNELI;XIII;item,[route6]
FAVENTIA;X;item,[route6]
FORO LIVI;XIII;item,[route6]
CAESANA;XV;item,[route6]
ARIMINO;XXIIII;item,[route6]
PISAVRO;XVI;item,[route6]
FANO FORTVNAE;IX;item,[route6]
FORO SEMPRONI;XVIII;item,[route6]
CALE;XIII;item,[route6]
HAESIM;XIII;item,[route6]
HELVILIVM;XV;item,[route6]
NVCERIA;XVIII;item,[route6]
MEVANIA;XV;item,[route6]
AD MARTIS;XVII;item,[route6]
NARNIA;XIII;item,[route6]
OCRICVLO;XII;item,[route6]
AD VICESVMO;XXIIII;item,[route6]
ROMAM;XX;item,[route6]
